t,Fthrust,Fdrag,m,v,Mach,a,altitude,twr,maxV,maxMach,maxAcc,minAcc,maxG,minG
1.86,500.0,12.12864,15.60686,40.3,0.11863,21.45507,150.52892,3.26543,40.3,0.11863,21.74063,0,2.21693,0
1.87,500.0,12.25761,15.60526,40.5145,0.11926,21.45006,150.93299,3.26577,40.5145,0.11926,21.74063,0,2.21693,0
1.88,500.0,12.38724,15.60366,40.72895,0.11989,21.445,151.33921,3.2661,40.72895,0.11989,21.74063,0,2.21693,0
1.89,500.0,12.5175,15.60205,40.94335,0.12052,21.43991,151.74757,3.26644,40.94335,0.12052,21.74063,0,2.21693,0
1.9,500.0,12.64841,15.60045,41.15769,0.12116,21.43477,152.15807,3.26678,41.15769,0.12116,21.74063,0,2.21693,0
1.91,500.0,12.77996,15.59885,41.37199,0.12179,21.42958,152.57072,3.26711,41.37199,0.12179,21.74063,0,2.21693,0
1.92,500.0,12.91215,15.59724,41.58623,0.12242,21.42436,152.98551,3.26745,41.58623,0.12242,21.74063,0,2.21693,0
1.93,500.0,13.04497,15.59564,41.80042,0.12305,21.4191,153.40244,3.26778,41.80042,0.12305,21.74063,0,2.21693,0
1.94,500.0,13.17844,15.59404,42.01456,0.12368,21.41379,153.82152,3.26812,42.01456,0.12368,21.74063,0,2.21693,0
1.95,500.0,13.31254,15.59244,42.22865,0.12431,21.40844,154.24274,3.26845,42.22865,0.12431,21.74063,0,2.21693,0
1.96,500.0,13.44728,15.59083,42.44268,0.12494,21.40305,154.66609,3.26879,42.44268,0.12494,21.74063,0,2.21693,0
1.97,500.0,13.58266,15.58923,42.65665,0.12557,21.39761,155.09159,3.26913,42.65665,0.12557,21.74063,0,2.21693,0
1.98,500.0,13.71867,15.58763,42.87057,0.1262,21.39214,155.51923,3.26946,42.87057,0.1262,21.74063,0,2.21693,0
1.99,500.0,13.85531,15.58603,43.08444,0.12683,21.38662,155.949,3.2698,43.08444,0.12683,21.74063,0,2.21693,0
2.0,500.0,13.99258,15.58442,43.29825,0.12746,21.38106,156.38091,3.27013,43.29825,0.12746,21.74063,0,2.21693,0
2.01,500.0,14.13049,15.58282,43.51201,0.12809,21.37546,156.81496,3.27047,43.51201,0.12809,21.74063,0,2.21693,0
2.02,500.0,14.26903,15.58122,43.7257,0.12872,21.36982,157.25115,3.27081,43.7257,0.12872,21.74063,0,2.21693,0
2.03,500.0,14.4082,15.57961,43.93935,0.12935,21.36414,157.68948,3.27114,43.93935,0.12935,21.74063,0,2.21693,0
2.04,500.0,14.54799,15.57801,44.15293,0.12998,21.35841,158.12994,3.27148,44.15293,0.12998,21.74063,0,2.21693,0
