	t : 0         		Fthrust : 500.0     		Fdrag : 0         		m : 15.90498  		v : 0         		Mach : 0         		a : 0         		altitude : 113.0     		twr : 3.20456   	
	t : 1.04      		Fthrust : 500.0     		Fdrag : 1.64271   		m : 15.73829  		v : 22.62714  		Mach : 0.06659   		a : 21.85406  		altitude : 124.74541 		twr : 3.23817   	
	t : 1.05      		Fthrust : 500.0     		Fdrag : 1.67456   		m : 15.73669  		v : 22.84569  		Mach : 0.06723   		a : 21.85528  		altitude : 124.97277 		twr : 3.2385    	
	t : 1.06      		Fthrust : 500.0     		Fdrag : 1.70671   		m : 15.73508  		v : 23.06426  		Mach : 0.06787   		a : 21.85648  		altitude : 125.20232 		twr : 3.23883   	
	t : 1.07      		Fthrust : 500.0     		Fdrag : 1.73918   		m : 15.73348  		v : 23.28283  		Mach : 0.06852   		a : 21.85766  		altitude : 125.43406 		twr : 3.23916   	
	t : 1.08      		Fthrust : 500.0     		Fdrag : 1.77195   		m : 15.73188  		v : 23.50142  		Mach : 0.06916   		a : 21.85882  		altitude : 125.66798 		twr : 3.23949   	
	t : 1.09      		Fthrust : 500.0     		Fdrag : 1.80502   		m : 15.73028  		v : 23.72002  		Mach : 0.0698    		a : 21.85997  		altitude : 125.90408 		twr : 3.23982   	
	t : 1.1       		Fthrust : 500.0     		Fdrag : 1.8384    		m : 15.72867  		v : 23.93863  		Mach : 0.07045   		a : 21.86109  		altitude : 126.14238 		twr : 3.24015   	
	t : 1.11      		Fthrust : 500.0     		Fdrag : 1.87209   		m : 15.72707  		v : 24.15725  		Mach : 0.07109   		a : 21.8622   		altitude : 126.38286 		twr : 3.24048   	
	t : 1.12      		Fthrust : 500.0     		Fdrag : 1.90609   		m : 15.72547  		v : 24.37589  		Mach : 0.07173   		a : 21.86328  		altitude : 126.62552 		twr : 3.24081   	
	t : 1.13      		Fthrust : 500.0     		Fdrag : 1.94039   		m : 15.72386  		v : 24.59453  		Mach : 0.07238   		a : 21.86435  		altitude : 126.87037 		twr : 3.24114   	
	t : 1.14      		Fthrust : 500.0     		Fdrag : 1.975     		m : 15.72226  		v : 24.81318  		Mach : 0.07302   		a : 21.86539  		altitude : 127.11741 		twr : 3.24147   	
	t : 1.15      		Fthrust : 500.0     		Fdrag : 2.00991   		m : 15.72066  		v : 25.03185  		Mach : 0.07367   		a : 21.86642  		altitude : 127.36664 		twr : 3.2418    	
	t : 1.16      		Fthrust : 500.0     		Fdrag : 2.04513   		m : 15.71906  		v : 25.25052  		Mach : 0.07431   		a : 21.86743  		altitude : 127.61805 		twr : 3.24213   	
	t : 1.17      		Fthrust : 500.0     		Fdrag : 2.08066   		m : 15.71745  		v : 25.46921  		Mach : 0.07495   		a : 21.86842  		altitude : 127.87165 		twr : 3.24246   	
	t : 1.18      		Fthrust : 500.0     		Fdrag : 2.11649   		m : 15.71585  		v : 25.6879   		Mach : 0.0756    		a : 21.86939  		altitude : 128.12743 		twr : 3.24279   	
	t : 1.19      		Fthrust : 500.0     		Fdrag : 2.15263   		m : 15.71425  		v : 25.9066   		Mach : 0.07624   		a : 21.87034  		altitude : 128.38541 		twr : 3.24312   	
	t : 1.2       		Fthrust : 500.0     		Fdrag : 2.18908   		m : 15.71264  		v : 26.12532  		Mach : 0.07688   		a : 21.87127  		altitude : 128.64557 		twr : 3.24345   	
	t : 1.21      		Fthrust : 500.0     		Fdrag : 2.22583   		m : 15.71104  		v : 26.34404  		Mach : 0.07753   		a : 21.87218  		altitude : 128.90791 		twr : 3.24378   	
	t : 1.22      		Fthrust : 500.0     		Fdrag : 2.26289   		m : 15.70944  		v : 26.56277  		Mach : 0.07817   		a : 21.87308  		altitude : 129.17245 		twr : 3.24411   	
	t : 1.23      		Fthrust : 500.0     		Fdrag : 2.30025   		m : 15.70784  		v : 26.78151  		Mach : 0.07882   		a : 21.87395  		altitude : 129.43917 		twr : 3.24444   	
	t : 1.24      		Fthrust : 500.0     		Fdrag : 2.33792   		m : 15.70623  		v : 27.00026  		Mach : 0.07946   		a : 21.87481  		altitude : 129.70808 		twr : 3.24478   	
	t : 1.25      		Fthrust : 500.0     		Fdrag : 2.3759    		m : 15.70463  		v : 27.21901  		Mach : 0.0801    		a : 21.87564  		altitude : 129.97917 		twr : 3.24511   	
	t : 1.26      		Fthrust : 500.0     		Fdrag : 2.41418   		m : 15.70303  		v : 27.43778  		Mach : 0.08075   		a : 21.87646  		altitude : 130.25246 		twr : 3.24544   	
	t : 1.27      		Fthrust : 500.0     		Fdrag : 2.45277   		m : 15.70143  		v : 27.65655  		Mach : 0.08139   		a : 21.87725  		altitude : 130.52793 		twr : 3.24577   	
	t : 1.28      		Fthrust : 500.0     		Fdrag : 2.49166   		m : 15.69982  		v : 27.87533  		Mach : 0.08204   		a : 21.87803  		altitude : 130.80559 		twr : 3.2461    	
	t : 1.29      		Fthrust : 500.0     		Fdrag : 2.53086   		m : 15.69822  		v : 28.09412  		Mach : 0.08268   		a : 21.87879  		altitude : 131.08544 		twr : 3.24643   	
	t : 1.3       		Fthrust : 500.0     		Fdrag : 2.57036   		m : 15.69662  		v : 28.31291  		Mach : 0.08333   		a : 21.87953  		altitude : 131.36747 		twr : 3.24676   	
	t : 1.31      		Fthrust : 500.0     		Fdrag : 2.61017   		m : 15.69501  		v : 28.53172  		Mach : 0.08397   		a : 21.88024  		altitude : 131.65169 		twr : 3.24709   	
	t : 1.32      		Fthrust : 500.0     		Fdrag : 2.65029   		m : 15.69341  		v : 28.75052  		Mach : 0.08461   		a : 21.88094  		altitude : 131.93811 		twr : 3.24743   	
	t : 1.33      		Fthrust : 500.0     		Fdrag : 2.69071   		m : 15.69181  		v : 28.96934  		Mach : 0.08526   		a : 21.88163  		altitude : 132.22671 		twr : 3.24776   	
	t : 1.34      		Fthrust : 500.0     		Fdrag : 2.73143   		m : 15.69021  		v : 29.18816  		Mach : 0.0859    		a : 21.88229  		altitude : 132.51749 		twr : 3.24809   	
	t : 1.35      		Fthrust : 500.0     		Fdrag : 2.77247   		m : 15.6886   		v : 29.40699  		Mach : 0.08655   		a : 21.88293  		altitude : 132.81047 		twr : 3.24842   	
	t : 1.36      		Fthrust : 500.0     		Fdrag : 2.8138    		m : 15.687    		v : 29.62583  		Mach : 0.08719   		a : 21.88355  		altitude : 133.10563 		twr : 3.24875   	
	t : 1.37      		Fthrust : 500.0     		Fdrag : 2.85544   		m : 15.6854   		v : 29.84467  		Mach : 0.08784   		a : 21.88415  		altitude : 133.40298 		twr : 3.24909   	
	t : 1.38      		Fthrust : 500.0     		Fdrag : 2.89739   		m : 15.68379  		v : 30.06352  		Mach : 0.08848   		a : 21.88474  		altitude : 133.70253 		twr : 3.24942   	
	t : 1.39      		Fthrust : 500.0     		Fdrag : 2.93965   		m : 15.68219  		v : 30.28237  		Mach : 0.08912   		a : 21.8853   		altitude : 134.00426 		twr : 3.24975   	
	t : 1.4       		Fthrust : 500.0     		Fdrag : 2.9822    		m : 15.68059  		v : 30.50123  		Mach : 0.08977   		a : 21.88585  		altitude : 134.30817 		twr : 3.25008   	
	t : 1.41      		Fthrust : 500.0     		Fdrag : 3.02507   		m : 15.67899  		v : 30.72009  		Mach : 0.09041   		a : 21.88637  		altitude : 134.61428 		twr : 3.25041   	
	t : 1.42      		Fthrust : 500.0     		Fdrag : 3.06823   		m : 15.67738  		v : 30.93896  		Mach : 0.09106   		a : 21.88688  		altitude : 134.92258 		twr : 3.25075   	
	t : 1.43      		Fthrust : 500.0     		Fdrag : 3.11171   		m : 15.67578  		v : 31.15784  		Mach : 0.0917    		a : 21.88737  		altitude : 135.23306 		twr : 3.25108   	
	t : 1.44      		Fthrust : 500.0     		Fdrag : 3.15548   		m : 15.67418  		v : 31.37671  		Mach : 0.09235   		a : 21.88783  		altitude : 135.54573 		twr : 3.25141   	
