t,Fthrust,Fdrag,m,v,Mach,a,altitude,twr,maxV,maxMach,maxAcc,minAcc,maxG,minG
1.04,500.0,1.64271,15.73829,22.62714,0.06659,21.85406,124.74541,3.23817,22.62714,0.06659,21.85406,0,2.22849,0
1.05,500.0,1.67456,15.73669,22.84569,0.06723,21.85528,124.97277,3.2385,22.84569,0.06723,21.85528,0,2.22862,0
1.06,500.0,1.70671,15.73508,23.06426,0.06787,21.85648,125.20232,3.23883,23.06426,0.06787,21.85648,0,2.22874,0
1.07,500.0,1.73918,15.73348,23.28283,0.06852,21.85766,125.43406,3.23916,23.28283,0.06852,21.85766,0,2.22886,0
1.08,500.0,1.77195,15.73188,23.50142,0.06916,21.85882,125.66798,3.23949,23.50142,0.06916,21.85882,0,2.22898,0
1.09,500.0,1.80502,15.73028,23.72002,0.0698,21.85997,125.90408,3.23982,23.72002,0.0698,21.85997,0,2.2291,0
1.1,500.0,1.8384,15.72867,23.93863,0.07045,21.86109,126.14238,3.24015,23.93863,0.07045,21.86109,0,2.22921,0
1.11,500.0,1.87209,15.72707,24.15725,0.07109,21.8622,126.38286,3.24048,24.15725,0.07109,21.8622,0,2.22932,0
1.12,500.0,1.90609,15.72547,24.37589,0.07173,21.86328,126.62552,3.24081,24.37589,0.07173,21.86328,0,2.22943,0
1.13,500.0,1.94039,15.72386,24.59453,0.07238,21.86435,126.87037,3.24114,24.59453,0.07238,21.86435,0,2.22954,0
1.14,500.0,1.975,15.72226,24.81318,0.07302,21.86539,127.11741,3.24147,24.81318,0.07302,21.86539,0,2.22965,0
1.15,500.0,2.00991,15.72066,25.03185,0.07367,21.86642,127.36664,3.2418,25.03185,0.07367,21.86642,0,2.22975,0
1.16,500.0,2.04513,15.71906,25.25052,0.07431,21.86743,127.61805,3.24213,25.25052,0.07431,21.86743,0,2.22986,0
1.17,500.0,2.08066,15.71745,25.46921,0.07495,21.86842,127.87165,3.24246,25.46921,0.07495,21.86842,0,2.22996,0
1.18,500.0,2.11649,15.71585,25.6879,0.0756,21.86939,128.12743,3.24279,25.6879,0.0756,21.86939,0,2.23006,0
1.19,500.0,2.15263,15.71425,25.9066,0.07624,21.87034,128.38541,3.24312,25.9066,0.07624,21.87034,0,2.23015,0
1.2,500.0,2.18908,15.71264,26.12532,0.07688,21.87127,128.64557,3.24345,26.12532,0.07688,21.87127,0,2.23025,0
1.21,500.0,2.22583,15.71104,26.34404,0.07753,21.87218,128.90791,3.24378,26.34404,0.07753,21.87218,0,2.23034,0
1.22,500.0,2.26289,15.70944,26.56277,0.07817,21.87308,129.17245,3.24411,26.56277,0.07817,21.87308,0,2.23043,0
1.23,500.0,2.30025,15.70784,26.78151,0.07882,21.87395,129.43917,3.24444,26.78151,0.07882,21.87395,0,2.23052,0
1.24,500.0,2.33792,15.70623,27.00026,0.07946,21.87481,129.70808,3.24478,27.00026,0.07946,21.87481,0,2.23061,0
1.25,500.0,2.3759,15.70463,27.21901,0.0801,21.87564,129.97917,3.24511,27.21901,0.0801,21.87564,0,2.23069,0
1.26,500.0,2.41418,15.70303,27.43778,0.08075,21.87646,130.25246,3.24544,27.43778,0.08075,21.87646,0,2.23078,0
1.27,500.0,2.45277,15.70143,27.65655,0.08139,21.87725,130.52793,3.24577,27.65655,0.08139,21.87725,0,2.23086,0
1.28,500.0,2.49166,15.69982,27.87533,0.08204,21.87803,130.80559,3.2461,27.87533,0.08204,21.87803,0,2.23094,0
1.29,500.0,2.53086,15.69822,28.09412,0.08268,21.87879,131.08544,3.24643,28.09412,0.08268,21.87879,0,2.23102,0
1.3,500.0,2.57036,15.69662,28.31291,0.08333,21.87953,131.36747,3.24676,28.31291,0.08333,21.87953,0,2.23109,0
1.31,500.0,2.61017,15.69501,28.53172,0.08397,21.88024,131.65169,3.24709,28.53172,0.08397,21.88024,0,2.23116,0
1.32,500.0,2.65029,15.69341,28.75052,0.08461,21.88094,131.93811,3.24743,28.75052,0.08461,21.88094,0,2.23124,0
1.33,500.0,2.69071,15.69181,28.96934,0.08526,21.88163,132.22671,3.24776,28.96934,0.08526,21.88163,0,2.2313,0
1.34,500.0,2.73143,15.69021,29.18816,0.0859,21.88229,132.51749,3.24809,29.18816,0.0859,21.88229,0,2.23137,0
1.35,500.0,2.77247,15.6886,29.40699,0.08655,21.88293,132.81047,3.24842,29.40699,0.08655,21.88293,0,2.23144,0
1.36,500.0,2.8138,15.687,29.62583,0.08719,21.88355,133.10563,3.24875,29.62583,0.08719,21.88355,0,2.2315,0
1.37,500.0,2.85544,15.6854,29.84467,0.08784,21.88415,133.40298,3.24909,29.84467,0.08784,21.88415,0,2.23156,0
1.38,500.0,2.89739,15.68379,30.06352,0.08848,21.88474,133.70253,3.24942,30.06352,0.08848,21.88474,0,2.23162,0
1.39,500.0,2.93965,15.68219,30.28237,0.08912,21.8853,134.00426,3.24975,30.28237,0.08912,21.8853,0,2.23168,0
1.4,500.0,2.9822,15.68059,30.50123,0.08977,21.88585,134.30817,3.25008,30.50123,0.08977,21.88585,0,2.23174,0
1.41,500.0,3.02507,15.67899,30.72009,0.09041,21.88637,134.61428,3.25041,30.72009,0.09041,21.88637,0,2.23179,0
1.42,500.0,3.06823,15.67738,30.93896,0.09106,21.88688,134.92258,3.25075,30.93896,0.09106,21.88688,0,2.23184,0
1.43,500.0,3.11171,15.67578,31.15784,0.0917,21.88737,135.23306,3.25108,31.15784,0.0917,21.88737,0,2.23189,0
1.44,500.0,3.15548,15.67418,31.37671,0.09235,21.88783,135.54573,3.25141,31.37671,0.09235,21.88783,0,2.23194,0
1.45,500.0,3.19956,15.67258,31.5956,0.09299,21.88828,135.86059,3.25174,31.5956,0.09299,21.88828,0,2.23198,0
1.46,500.0,3.24395,15.67097,31.81448,0.09364,21.88871,136.17764,3.25208,31.81448,0.09364,21.88871,0,2.23203,0
1.47,500.0,3.28864,15.66937,32.03337,0.09428,21.88912,136.49688,3.25241,32.03337,0.09428,21.88912,0,2.23207,0
1.48,500.0,3.33364,15.66777,32.25227,0.09492,21.88951,136.81831,3.25274,32.25227,0.09492,21.88951,0,2.23211,0
1.49,500.0,3.37894,15.66616,32.47117,0.09557,21.88988,137.14193,3.25307,32.47117,0.09557,21.88988,0,2.23215,0
1.5,500.0,3.42454,15.66456,32.69007,0.09621,21.89023,137.46773,3.25341,32.69007,0.09621,21.89023,0,2.23218,0
1.51,500.0,3.47045,15.66296,32.90898,0.09686,21.89057,137.79573,3.25374,32.90898,0.09686,21.89057,0,2.23222,0
1.52,500.0,3.51666,15.66136,33.12789,0.0975,21.89088,138.12591,3.25407,33.12789,0.0975,21.89088,0,2.23225,0
1.53,500.0,3.56318,15.65975,33.3468,0.09815,21.89117,138.45829,3.25441,33.3468,0.09815,21.89117,0,2.23228,0
1.54,500.0,3.61,15.65815,33.56571,0.09879,21.89145,138.79285,3.25474,33.56571,0.09879,21.89145,0,2.23231,0
1.55,500.0,3.65712,15.65655,33.78463,0.09944,21.8917,139.1296,3.25507,33.78463,0.09944,21.8917,0,2.23233,0
1.56,500.0,3.70455,15.65494,34.00355,0.10008,21.89194,139.46854,3.2554,34.00355,0.10008,21.89194,0,2.23236,0
1.57,500.0,3.75228,15.65334,34.22247,0.10073,21.89215,139.80967,3.25574,34.22247,0.10073,21.89215,0,2.23238,0
1.58,500.0,3.80032,15.65174,34.44139,0.10137,21.89235,140.15299,3.25607,34.44139,0.10137,21.89235,0,2.2324,0
1.59,500.0,3.84866,15.65014,34.66032,0.10202,21.89253,140.4985,3.2564,34.66032,0.10202,21.89253,0,2.23242,0
1.6,500.0,3.8973,15.64853,34.87925,0.10266,21.89268,140.8462,3.25674,34.87925,0.10266,21.89268,0,2.23243,0
1.61,500.0,3.94625,15.64693,35.09817,0.10331,21.89282,141.19609,3.25707,35.09817,0.10331,21.89282,0,2.23245,0
1.62,500.0,3.99549,15.64533,35.3171,0.10395,21.89294,141.54816,3.25741,35.3171,0.10395,21.89294,0,2.23246,0
1.63,500.0,4.04505,15.64373,35.53603,0.1046,21.89304,141.90243,3.25774,35.53603,0.1046,21.89304,0,2.23247,0
1.64,500.0,4.0949,15.64212,35.75496,0.10524,21.89312,142.25888,3.25807,35.75496,0.10524,21.89312,0,2.23248,0
1.65,500.0,4.14506,15.64052,35.9739,0.10589,21.89318,142.61753,3.25841,35.9739,0.10589,21.89318,0,2.23248,0
1.66,500.0,4.19552,15.63892,36.19283,0.10653,21.89323,142.97836,3.25874,36.19283,0.10653,21.89323,0,2.23249,0
1.67,500.0,4.24628,15.63731,36.41176,0.10717,21.89325,143.34138,3.25907,36.41176,0.10717,21.89325,0,2.23249,0
1.68,500.0,4.29735,15.63571,36.63069,0.10782,21.89325,143.7066,3.25941,36.63069,0.10782,21.89325,0,2.23249,0
1.69,500.0,4.34872,15.63411,36.84963,0.10846,21.89324,144.074,3.25974,36.84963,0.10846,21.89325,0,2.23249,0
1.7,500.0,4.40039,15.63251,37.06856,0.10911,21.8932,144.44359,3.26008,37.06856,0.10911,21.89325,0,2.23249,0
